timestamp,tables_name,task,status,execution_time
2024-03-19 04:38:33.986588,category,Extract,Success,0.0058193206787109
2024-03-19 04:38:33.991049,subcategory,Extract,Success,0.0043025016784667
2024-03-19 04:38:34.001769,customer,Extract,Success,0.0105977058410644
2024-03-19 04:38:34.011613,orders,Extract,Success,0.0097017288208007
2024-03-19 04:38:34.026796,product,Extract,Success,0.0150580406188964
2024-03-19 04:38:34.056099,order_detail,Extract,Success,0.0291745662689209
2024-03-19 04:38:34.106902,category,Load,Success,0.0094950199127197
2024-03-19 04:38:34.220031,subcategory,Load,Success,0.1129722595214843
2024-03-19 04:38:34.703426,customer,Load,Success,0.4832029342651367
2024-03-19 04:38:35.206701,orders,Load,Success,0.503063440322876
2024-03-19 04:38:35.893754,product,Load,Success,0.6868159770965576
2024-03-19 04:38:37.802613,order_detail,Load,Success,1.9087002277374268
2024-03-19 04:38:37.831214,dim_customer,Extract,Success,0.0071992874145507
2024-03-19 04:38:37.844039,dim_product,Extract,Success,0.0126242637634277
2024-03-19 04:38:37.939959,fct_order,Extract,Success,0.0957388877868652
2024-03-19 04:39:23.840526,category,Extract,Success,0.004988670349121
2024-03-19 04:39:23.845232,subcategory,Extract,Success,0.004535436630249
2024-03-19 04:39:23.855095,customer,Extract,Success,0.0097222328186035
2024-03-19 04:39:23.865275,orders,Extract,Success,0.0100584030151367
2024-03-19 04:39:23.880687,product,Extract,Success,0.0152912139892578
2024-03-19 04:39:23.908628,order_detail,Extract,Success,0.0278022289276123
2024-03-19 04:39:23.954790,category,Load,Success,0.0080034732818603
2024-03-19 04:39:24.064120,subcategory,Load,Success,0.1091790199279785
2024-03-19 04:39:24.574287,customer,Load,Success,0.5100100040435791
2024-03-19 04:39:25.069620,orders,Load,Success,0.4951150417327881
2024-03-19 04:39:25.739975,product,Load,Success,0.6700706481933594
2024-03-19 04:39:27.480990,order_detail,Load,Success,1.7407848834991455
2024-03-19 04:39:27.513233,dim_customer,Extract,Success,0.0109024047851562
2024-03-19 04:39:27.529933,dim_product,Extract,Success,0.0165276527404785
2024-03-19 04:39:27.579267,fct_order,Extract,Success,0.0491485595703125
